0x14	quest name	Lunch Prep Agent
0x44	client	Dorado
0x64	line	I forgot my lunch today...
0x98	line	I'll be around the plaza.
0xcc	line	Please have someone make it
0x100	line	for me!
0x1a0	line	Let's give the ingredients from
0x1d4	line	Dorado to my sister and have
0x208	line	her make the lunch box.
0x23c	line	
0x2dc	line	Spoke with Eartha. She'll
0x310	line	make the lunch box.
0x344	line	
0x378	line	
0x418	line	The lunch box is complete!
0x44c	line	Let's take it to Dorado
0x480	line	right away.
0x4b4	line	
0x504	quest name	Sword Practice
0x534	client	Orvus
0x554	line	I'm glad you are well. It has
0x588	line	been some time. I wish to
0x5bc	line	resume your training. Please
0x5f0	line	meet me together on the beach.
0x690	line	Let's equip my sword and
0x6c4	line	speak with Master again.
0x6f8	line	
0x72c	line	
0x7cc	line	Let's destroy those scarecrows
0x800	line	with normal attacks!
0x834	line	
0x868	line	
0x908	line	Let's defeat those monsters
0x93c	line	while jumping and evading!
0x970	line	
0x9a4	line	
0x9f4	quest name	Vel's Challenge
0xa24	client	Vel
0xa44	line	Play a game with Vel! There's
0xa78	line	a nice prize in it for you!
0xaac	line	I'll be at my house near the
0xae0	line	harbor!
0xb80	line	"A place where you can go	
0xbb4	line	 up stairs and see over 
0xbe8	line	 everyone's heads."
0xc1c	line	Apparently that's all I get.
0xcbc	line	"Look throught the hole
0xcf0	line	 peering at the sky"...?
0xd24	line	In that case...
0xd58	line	
0xdf8	line	"The back of the knight"?
0xe2c	line	It's probably the person
0xe60	line	always wearing armor.
0xe94	line	
0xf34	line	"A vehicle for setting off
0xf68	line	 on a journey"...
0xf9c	line	It's probably under a boat.
0xfd0	line	Which boat could it be?
0x1020	quest name	A Thankful Gift
0x1050	client	Sculp
0x1070	line	I want you to pick out a gift
0x10a4	line	for my wife. I'll be waiting
0x10d8	line	taking care of the cow, so
0x110c	line	please lend me your help!
0x11ac	line	Sasha at the general store
0x11e0	line	might know of something that's
0x1214	line	good for a present. Let's speak
0x1248	line	with her right away.
0x12e8	line	Look for the Eternal Rose
0x131c	line	that grows where cherries
0x1350	line	blossoms fall. It might be on 
0x1384	line	Terra's Forest Continent.
0x1424	line	Found an Eternal Rose.
0x1458	line	Let's bring it to Sculp!
0x148c	line	
0x14c0	line	
0x1510	quest name	Finding Star Shards
0x1540	client	Boote
0x1560	line	I just dropped all the star
0x1594	line	shards I found...
0x15c8	line	If you have time,
0x15fc	line	meet me at the cape!
0x169c	line	It seems like there are
0x16d0	line	nine star shards in total.
0x1704	line	Let's help look for them
0x1738	line	immediately!
0x1788	quest name	Fine Fruit Liqueur
0x17b8	client	Ada
0x17d8	line	I'm thinking it's about time
0x180c	line	I made some fruit liqueur
0x1840	line	this year. If you want to
0x1874	line	help, see me at the armory.
0x1914	line	A fruit to macerate...
0x1948	line	Someone who runs a bar might
0x197c	line	know something. Let's try
0x19b0	line	asking around.
0x1a50	line	I obtained a 100-Year Peach
0x1a84	line	Sapling that bears fruit in
0x1ab8	line	the summer. Maybe I can raise
0x1aec	line	it somewhere in Terra?
0x1b8c	line	I tried planting it in the 
0x1bc0	line	spring of Shaded Animal Trail.
0x1bf4	line	Let's change the season to
0x1c28	line	summer and go check on it.
0x1cc8	line	The 100-Year Peach matured!
0x1cfc	line	Let's bring it to Ada right
0x1d30	line	away.
0x1d64	line	
0x1db4	quest name	Medical Exam Aide
0x1de4	client	Dr. Hydrol
0x1e04	line	I want you to remind people
0x1e38	line	about their checkups.
0x1e6c	line	If you are available,
0x1ea0	line	please come help.
0x1f40	line	Tell Janis from the
0x1f74	line	Elder's house about
0x1fa8	line	her exam.
0x1fdc	line	
0x207c	line	Tell Carina from the
0x20b0	line	fisherman's house
0x20e4	line	about her exam. 
0x2118	line	
0x21b8	line	Tell Boote from the
0x21ec	line	farmer's house
0x2220	line	about his exam.
0x2254	line	
0x22f4	line	Where could Boote have gone?
0x2328	line	Sasha at the general store
0x235c	line	might know something.
0x2390	line	 
0x23e0	quest name	Island Specialties
0x2410	client	Geo
0x2430	line	Nayuta, will you listen to
0x2464	line	my request? I'll be waiting
0x2498	line	in the sanctum of the
0x24cc	line	Oltapia temple.
0x256c	line	Remnant Island specialties...
0x25a0	line	Maybe Elder Serpent knows
0x25d4	line	anything? I'll speak with
0x2608	line	him right away.
0x26a8	line	Seems like Ruins Rock Salt
0x26dc	line	can be found on the
0x2710	line	Remnant Island Beach.
0x2744	line	Let's get a closer look.
0x27e4	line	The person specializing in
0x2818	line	local cuisine is someone
0x284c	line	you wouldn't think of as a
0x2880	line	chef... Who could it be?
0x2920	line	Collected the specialties.
0x2954	line	Let's take them to Geo.
0x2988	line	 
0x29bc	line	
0x2a0c	quest name	Work Repair
0x2a3c	client	Eartha
0x2a5c	line	The important tool I use for
0x2a90	line	my star shard observation
0x2ac4	line	work is broken.
0x2af8	line	Can you fix it?
0x2b98	line	It seems the Elumi Resin can be
0x2bcc	line	found in autumn of the Forest
0x2c00	line	Continent. Let's search for
0x2c34	line	a tree in a dark place.
0x2cd4	line	Obtained the Elumi Resin.
0x2d08	line	Let's tell Eartha.
0x2d3c	line	
0x2d70	line	
0x2dc0	quest name	A Nymph's Request
0x2df0	client	Oltapia Nymph
0x2e10	line	？×～△●③〆∴
0x2e44	line	＊＠↑○×☆～！
0x2e78	line	
0x2eac	line	
0x2f4c	line	It seems a ferocious monster
0x2f80	line	has appeared. When ready,
0x2fb4	line	let's head to winter
0x2fe8	line	of Shaded Animal Trail.
0x3088	line	Defeated the monster, 
0x30bc	line	"Bismarck!"
0x30f0	line	Let's report back immediately.
0x3124	line	
0x3174	quest name	Pigment Supply
0x31a4	client	Pyxia
0x31c4	line	My path to become an artist
0x31f8	line	is facing an unprecedented
0x322c	line	hurdle! Please, come meet 
0x3260	line	me in the plaza!
0x3300	line	Seems like she needs red,
0x3334	line	blue, and yellow pigments.
0x3368	line	Supposedly they can be found
0x339c	line	from high mountains, but...
0x343c	line	Managed to get the three
0x3470	line	pigments. I'll give them
0x34a4	line	to Pyxia.
0x34d8	line	
0x3528	quest name	Extinct Bird
0x3558	client	Erisette
0x3578	line	I need your help with
0x35ac	line	some important work.
0x35e0	line	I'll be waiting at the
0x3614	line	sanctum of Rieseweld.
0x36b4	line	Build the Moon Bird nest in
0x36e8	line	an especially cold place.
0x371c	line	Let's find a good spot in
0x3750	line	the winter of Rieseweld.
0x37f0	line	Found a good spot in winter
0x3824	line	of Dragon River Cavern.
0x3858	line	Let's change to summer
0x388c	line	so they can hatch.
0x392c	line	Safely hatched the Moon
0x3960	line	Bird eggs. Let's go     
0x3994	line	report to Erisette.
0x39c8	line	
0x3a18	quest name	A Clue About Sis
0x3a48	client	Ursamina
0x3a68	line	There's something I want
0x3a9c	line	you to do. I'm waiting at
0x3ad0	line	the cape on the other side
0x3b04	line	of the island.
0x3ba4	line	Reticul should still be
0x3bd8	line	somewhere in Terra.
0x3c0c	line	Let's use the Astrolabe's
0x3c40	line	power to search for her.
0x3ce0	line	It seems that Reticul is in
0x3d14	line	Rieseweld. Let's search the
0x3d48	line	various seasons for her.
0x3d7c	line	
0x3e1c	line	Reticul was last seen
0x3e50	line	in Dragon River Cavern.
0x3e84	line	Let's keep searching
0x3eb8	line	for her.
0x3f58	line	I got a message from
0x3f8c	line	Reticul. I'll bring it
0x3fc0	line	to Ursamina.
0x3ff4	line	
0x4044	quest name	A Nymph's Request
0x4074	client	Rieseweld Nymph
0x4094	line	＃＆～？♪∠†
0x40c8	line	※♭△↑×☆～！
0x40fc	line	
0x4130	line	
0x41d0	line	It seems a ferocious monster
0x4204	line	has appeared. When we're
0x4238	line	ready, let's head to autumn
0x426c	line	of Scrying Pool Caves.
0x430c	line	Defeated the monster,
0x4340	line	"Hyperion!"
